State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Illinois,13,12,18,23,26,25,24,19,13,10,15,14,14,4,3
Indiana,7,6,7,8,11,11,13,12,7,7,7,7,9,2,2
Iowa,23,25,31,33,36,35,32,22,16,14,15,13,12,5,4
Kansas,25,26,25,25,25,23,23,25,25,24,22,28,20,7,5
Michigan,8,8,12,18,15,15,16,19,15,13,11,11,8,4,2
Minnesota,28,25,29,31,35,33,28,26,19,23,18,16,19,3,2
Missouri,20,23,27,32,32,37,38,30,27,23,15,27,18,5,4
Nebraska,24,24,34,36,41,39,37,31,27,26,22,15,16,6,4
North Dakota ,0,0,0,0,0,21,29,29,24,22,22,26,17,5,6
Ohio,6,7,6,6,8,9,8,9,12,15,13,24,13,6,3
South Dakota,35,30,33,34,28,30,20,16,7,6,6,7,9,2,3
Texas,0,0,0,0,0,21,27,22,20,21,18,22,20,16,12
Wisconsin,13,11,15,21,22,22,22,19,14,13,13,18,10,3,3
Other States,10,11,14,17,19,19,20,20,20,20,21,20,18,6,6
U.S.,18,18,22,25,27,26,25,21,17,17,16,16,15,5,4
